raid.mirror.resync
kern.uptime.filer
logged in
HTTP Authentication
ok:info
is running NetApp Release
Cluster Notification mail sent
rmc.driver:warning
mountd_main: warning
Permission denied
kernel: nfs: server g01
rshd_0:notice
config_async_0:notice
license.db.migrate.vol.readonly:warning
scrub
Premature EOF
CfTimeDaemon
sshd_0:info
e0:warning
ispfc_main:error
has nothing new for
contains no new data
